"sj" "cb" "blockNumber" "blockType" "trialNum" "congruency" "posture" "wordStim" "inkColour" "rt" "cResp" "resp" "ac"
"1_1_1" 1 9 "experimental" 30 "incongruent" "SITTING" "GREEN" "red" 882 2 1 0
"1_1_1" 1 9 "experimental" 31 "congruent" "SITTING" "RED" "red" 518 1 1 1
"1_1_1" 1 9 "experimental" 32 "incongruent" "SITTING" "RED" "green" 449 2 2 1
"1_1_1" 1 9 "experimental" 33 "neutral" "SITTING" "XXX" "green" 431 2 2 1
"1_1_1" 1 9 "experimental" 34 "incongruent" "SITTING" "GREEN" "red" 551 1 1 1
"1_1_1" 1 9 "experimental" 35 "congruent" "SITTING" "GREEN" "green" 497 2 2 1
"1_1_1" 1 9 "experimental" 36 "congruent" "SITTING" "GREEN" "green" 461 2 2 1
"1_1_1" 1 10 "experimental" 1 "congruent" "SITTING" "RED" "red" 451 1 1 1
"1_1_1" 1 10 "experimental" 2 "incongruent" "SITTING" "RED" "green" 570 2 2 1
"1_1_1" 1 10 "experimental" 3 "congruent" "SITTING" "GREEN" "green" 443 2 2 1
"1_1_1" 1 10 "experimental" 4 "incongruent" "SITTING" "GREEN" "red" 434 1 1 1
"1_1_1" 1 10 "experimental" 5 "neutral" "SITTING" "XXXXX" "green" 1113 2 2 1
"1_1_1" 1 10 "experimental" 6 "neutral" "SITTING" "XXX" "green" 515 2 2 1
"1_1_1" 1 10 "experimental" 7 "incongruent" "SITTING" "RED" "green" 527 2 2 1
"1_1_1" 1 10 "experimental" 8 "neutral" "SITTING" "XXX" "red" 426 1 1 1
"1_1_1" 1 10 "experimental" 9 "neutral" "SITTING" "XXXXX" "red" 697 1 1 1
"1_1_1" 1 10 "experimental" 10 "congruent" "SITTING" "GREEN" "green" 381 2 2 1
"1_1_1" 1 10 "experimental" 11 "congruent" "SITTING" "RED" "red" 502 1 1 1
"1_1_1" 1 10 "experimental" 12 "incongruent" "SITTING" "GREEN" "red" 1179 1 1 1
"1_1_1" 1 10 "experimental" 13 "congruent" "SITTING" "GREEN" "green" 387 2 2 1
"1_1_1" 1 10 "experimental" 14 "congruent" "SITTING" "RED" "red" 460 1 1 1
"1_1_1" 1 10 "experimental" 15 "incongruent" "SITTING" "RED" "green" 506 2 2 1
"1_1_1" 1 10 "experimental" 16 "congruent" "SITTING" "RED" "red" 485 1 1 1
"1_1_1" 1 10 "experimental" 17 "incongruent" "SITTING" "GREEN" "red" 418 1 1 1
"1_1_1" 1 10 "experimental" 18 "incongruent" "SITTING" "RED" "green" 451 2 2 1
"1_1_1" 1 10 "experimental" 19 "neutral" "SITTING" "XXX" "green" 425 1 2 0
"1_1_1" 1 10 "experimental" 20 "congruent" "SITTING" "GREEN" "green" 528 2 2 1
"1_1_1" 1 10 "experimental" 21 "neutral" "SITTING" "XXXXX" "green" 667 2 2 1
"1_1_1" 1 10 "experimental" 22 "neutral" "SITTING" "XXX" "red" 416 1 1 1
"1_1_1" 1 10 "experimental" 23 "incongruent" "SITTING" "GREEN" "red" 456 1 1 1
"1_1_1" 1 10 "experimental" 24 "neutral" "SITTING" "XXXXX" "red" 470 1 1 1
"1_1_1" 1 10 "experimental" 25 "neutral" "SITTING" "XXX" "red" 356 1 1 1
"1_1_1" 1 10 "experimental" 26 "neutral" "SITTING" "XXX" "green" 646 2 2 1
"1_1_1" 1 10 "experimental" 27 "congruent" "SITTING" "RED" "red" 540 1 1 1
"1_1_1" 1 10 "experimental" 28 "congruent" "SITTING" "GREEN" "green" 702 2 2 1
"1_1_1" 1 10 "experimental" 29 "incongruent" "SITTING" "RED" "green" 498 1 2 0
"1_1_1" 1 10 "experimental" 30 "congruent" "SITTING" "RED" "red" 550 1 1 1
