"sj" "cb" "blockNumber" "blockType" "trialNum" "target" "targetImage" "distractor" "distractorImage" "posture" "setSize" "rt" "resp" "cresp" "ac"
1 1 2 "experimental" 128 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 546 "s" "s" 1
1 1 3 "experimental" 1 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 761 "h" "h" 1
1 1 3 "experimental" 2 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 497 "h" "h" 1
1 1 3 "experimental" 3 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 524 "s" "s" 1
1 1 3 "experimental" 4 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 617 "s" "s" 1
1 1 3 "experimental" 5 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 460 "s" "s" 1
1 1 3 "experimental" 6 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 501 "s" "s" 1
1 1 3 "experimental" 7 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 436 "h" "h" 1
1 1 3 "experimental" 8 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 587 "h" "h" 1
1 1 3 "experimental" 9 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 770 "s" "s" 1
1 1 3 "experimental" 10 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 651 "s" "s" 1
1 1 3 "experimental" 11 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 571 "s" "s" 1
1 1 3 "experimental" 12 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 519 "h" "h" 1
1 1 3 "experimental" 13 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 625 "s" "s" 1
1 1 3 "experimental" 14 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 494 "h" "h" 1
1 1 3 "experimental" 15 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 741 "h" "h" 1
1 1 3 "experimental" 16 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 707 "h" "h" 1
1 1 3 "experimental" 17 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 832 "s" "s" 1
1 1 3 "experimental" 18 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 695 "h" "h" 1
1 1 3 "experimental" 19 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 545 "s" "s" 1
1 1 3 "experimental" 20 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 531 "h" "h" 1
1 1 3 "experimental" 21 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 578 "h" "h" 1
1 1 3 "experimental" 22 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 577 "s" "s" 1
1 1 3 "experimental" 23 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 706 "h" "h" 1
1 1 3 "experimental" 24 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 492 "s" "s" 1
1 1 3 "experimental" 25 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 555 "s" "s" 1
1 1 3 "experimental" 26 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 662 "s" "s" 1
1 1 3 "experimental" 27 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 629 "h" "h" 1
1 1 3 "experimental" 28 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 810 "h" "h" 1
1 1 3 "experimental" 29 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 593 "h" "h" 1
1 1 3 "experimental" 30 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 503 "s" "s" 1
1 1 3 "experimental" 31 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 458 "h" "h" 1
